Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
proceed3_864f96e3	Sunela	Oh!! I know!! Miss Serene can talk to it! She's really smart, I know she can figure it out!	game/story/chapter1.rpy	408	Sunela "[what]"
proceed3_e91732a2	Moonga	Yeah, right. Like she could figure it out. The riddle is so dumb.	game/story/chapter1.rpy	409	Moonga "[what]"
proceed3_36be53d8	Moonga	Let's just send her back and summon a {i}REAL{/i} hero. {w=2.0}Then we can just ask {i}HIM{/i} to smash it.	game/story/chapter1.rpy	410	Moonga "[what]"
proceed3_bc3e8ba0	Panna	Unfortunately, Miss Serene is all we've got for now.	game/story/chapter1.rpy	411	Panna "[what]"
proceed3_c948018b	Panna	I need more time to find a way to send her back.	game/story/chapter1.rpy	412	Panna "[what]"
proceed3_ba3113c5	Sunela	Will you help us, Miss Serene?!	game/story/chapter1.rpy	413	Sunela "[what]"
proceed3_11fdb519	extend		game/story/chapter1.rpy	416	extend "[what]" nointeract
proceed4_7753f756	narrator	The team walks further, their footsteps uneven and sounding like soft thuds against the cave floor.	game/story/chapter1.rpy	427	narrator "[what]"
proceed4_c7f0d7e6	Sunela	There it is! The sim moo laba laba!!	game/story/chapter1.rpy	428	Sunela "[what]"
proceed4_e90c4ce8	Panna	It's {i}Simulacrum.{/i}	game/story/chapter1.rpy	430	Panna "[what]"
proceed4_6fda9ff4	Moonga	Well, it's about to sim moo la crumble after I'm done with it.	game/story/chapter1.rpy	431	Moonga "[what]"
proceed4_5a2266c4	Moonga	Can we just not waste our time talking and move on?	game/story/chapter1.rpy	432	Moonga "[what]"
proceed4_90cf191c	narrator	Talk to the suspicious statue?	game/story/chapter1.rpy	434	narrator "[what]"
proceed4_11fdb519	extend		game/story/chapter1.rpy	437	extend "[what]" nointeract
statue_time_0f218502	narrator	The statue opens its eyes, its gaze seemingly piercing through you. 	game/story/chapter1.rpy	448	narrator "[what]"
statue_time_c065ea80	Statue	Ah, a visitor most strange has arrived at my step. State the purpose of your passage.	game/story/chapter1.rpy	449	Statue "[what]"
statue_time_f96a509e	narrator	The statue gives a malevolent stare.	game/story/chapter1.rpy	450	narrator "[what]"
statue_time_3fd33f10	Panna	Interesting, that's a new response...{w=1.5}Wait, Serene!	game/story/chapter1.rpy	451	Panna "[what]"
statue_time_45708eb2	Panna	Choose your words carefully! I have an awful premonition about this.	game/story/chapter1.rpy	452	Panna "[what]"
statue_time_11fdb519	extend		game/story/chapter1.rpy	455	extend "[what]" nointeract
investigate_c79160d8	Statue	I see. An exit, you so desire. An exit, I may easily provide. The statue's eyes gives a yellow fluorescent glow.	game/story/chapter1.rpy	464	Statue "[what]"
investigate_f2e4ac2a	Sunela	I don't like this. I've never seen her eyes do that before!	game/story/chapter1.rpy	465	Sunela "[what]"
investigate_6d0ce79a	Moonga	I'm telling you guys, we need to get rid of it!!	game/story/chapter1.rpy	466	Moonga "[what]"
investigate_3de3e8a2	Statue	A foreshadowing comment. It appears our thoughts are alike. The statue's eyes shifts to a deep crimson hue.	game/story/chapter1.rpy	467	Statue "[what]"
investigate_11fdb519	extend		game/story/chapter1.rpy	470	extend "[what]" nointeract
worship_40a8519f	Sunela	Good idea Miss Serene!! What does the book say Panna?!	game/story/chapter1.rpy	481	Sunela "[what]"
worship_e58b13fb	Panna	Y-Yes. I'm already looking. {w=0.8}Wait...{w=0.8}I see it...! {w=2.0}"Only when its eyes turn deep red, does its heart shine a brilliant blue."	game/story/chapter1.rpy	483	Panna "[what]"
worship_932768ed	Panna	...!	game/story/chapter1.rpy	484	Panna "[what]"
worship_61aaf804	Panna	I understand now!{w=1} Serene! {w=0.5}Take this bracelet!	game/story/chapter1.rpy	485	Panna "[what]"
worship_289e00ba	narrator	Without hesitation, you slip the bracelet on your wrist.	game/story/chapter1.rpy	487	narrator "[what]"
worship_9a586007	narrator	The blue sapphire shimmers against the light being cast from the statue's glowing eyes.	game/story/chapter1.rpy	488	narrator "[what]"
worship_818ba2f3	Statue	Ah, a strange identity finally revealed...	game/story/chapter1.rpy	489	Statue "[what]"
worship_f5335160	Statue	You may pass...{w=1.5}But heed these words;	game/story/chapter1.rpy	490	Statue "[what]"
worship_5ec0d05b	Statue	Upon completion of the full cycle, your return shall be prompt.	game/story/chapter1.rpy	491	Statue "[what]"
worship_4a14dcea	Statue	Now leave.	game/story/chapter1.rpy	492	Statue "[what]"
worship_3d11739d	Serene	Absolutely understood! {w=1.0} Leaving, leaving, leaving, thank you so much..! {w=2.0}	game/story/chapter1.rpy	493	Serene "[what]"
worship_3c822c61	narrator	As the lot of you scurry out of the cave, you approach a blindingly bright light leading outside.	game/story/chapter1.rpy	494	narrator "[what]"
worship_67376e3b	Sunela	We did it!! I knew Serene could do it!!	game/story/chapter1.rpy	501	Sunela "[what]"
worship_258ea315	Serene	Wow. That. That was actually kind of fun?	game/story/chapter1.rpy	503	Serene "[what]"
worship_64e6afb9	Serene	Well, minus the whole possibly getting crushed to death thing, but still!	game/story/chapter1.rpy	504	Serene "[what]"
worship_6e8dcb4c	Panna	That was purely a stroke of luck; I can't believe it. Well, Miss Serene, I think we owe you an apology.	game/story/chapter1.rpy	505	Panna "[what]"
worship_48c57edf	Serene	What are you apologizing for?	game/story/chapter1.rpy	506	Serene "[what]"
worship_487f467d	Panna	For this...? All of this? For bringing you here?	game/story/chapter1.rpy	507	Panna "[what]"
worship_925b6a93	Sunela	If anything, it's Moonga who should be apologizing!	game/story/chapter1.rpy	508	Sunela "[what]"
worship_5ecb3a8f	Moonga	Maaaaaan, for what?! I still say we shoulda' just smashed it.	game/story/chapter1.rpy	509	Moonga "[what]"
worship_f406c01f	Serene	It's okay. I mean, I kind of like it here. The air is better, the scenery looks nice, and-	game/story/chapter1.rpy	510	Serene "[what]"
worship_724cc336	Serene	Wait is that a castle...?	game/story/chapter1.rpy	512	Serene "[what]"
worship_96f8a4f2	narrator	You point at the bustling town ahead, made of an assortment of large structures.	game/story/chapter1.rpy	513	narrator "[what]"
worship_a639abd8	Panna	Oh, you mean the capital? Thankfully we're relatively close.	game/story/chapter1.rpy	514	Panna "[what]"
worship_78466f3c	Panna	We need to move now though if we want to get back before sunset. 	game/story/chapter1.rpy	515	Panna "[what]"
worship_759d26f9	Moonga	Can't we just camp out here?	game/story/chapter1.rpy	518	Moonga "[what]"
worship_fbfc94a9	Panna	Have you already forgotten that you ate all of the rations? ALL OF IT.	game/story/chapter1.rpy	519	Panna "[what]"
worship_75c6943e	Panna	How does one even do that. We had enough food for 6 days and you demolished it in two.	game/story/chapter1.rpy	520	Panna "[what]"
worship_effaec64	Moonga	Listen! A strong adventurer's gotta' keep their strength up. You wouldn't get it.	game/story/chapter1.rpy	521	Moonga "[what]"
worship_a5900276	Panna	Technically, the brain needs more energy than your muscles, which is something you evidently lack.	game/story/chapter1.rpy	522	Panna "[what]"
worship_08016699	Sunela	I still have some biscuits mama baked for us!	game/story/chapter1.rpy	523	Sunela "[what]"
worship_9c09cde2	narrator	Panna and Moonga both decline in unison.	game/story/chapter1.rpy	524	narrator "[what]"
worship_bdee579d	Moonga	We need your strength at a 100% Sunela! Keep those biscuits safe.	game/story/chapter1.rpy	525	Moonga "[what]"
worship_7bb4c0d8	se	(It sounds like Panna wants to keep going, but Moonga and Sunela need some rest. What should we do?)	game/story/chapter1.rpy	526	se "[what]"
worship_11fdb519	extend		game/story/chapter1.rpy	529	extend "[what]" nointeract
camp_cave_d8e6b36c	se	(We're almost there. It was a 3-hour walk, but it felt like an eternity.)	game/story/chapter1.rpy	543	se "[what]"
camp_cave_00c31529	se	(Walking along a dirt trail in heels? Nope. Not great. We don't like that.)	game/story/chapter1.rpy	544	se "[what]"
camp_cave_6905e907	Sunela	We're almost here, Miss Serene!	game/story/chapter1.rpy	545	Sunela "[what]"
camp_cave_e169ab75	Sunela	Do you think papa will be home when we get there?	game/story/chapter1.rpy	547	Sunela "[what]"
camp_cave_e84e444e	Moonga	Dunno'. He's always in his office writing stuff.	game/story/chapter1.rpy	548	Moonga "[what]"
camp_cave_dd3a18e2	Panna	He should be. I believe this manuscript will pique his interest as well.	game/story/chapter1.rpy	549	Panna "[what]"
camp_cave_154fd345	se	(I wonder what kind of person their father is...?{w=2.0} They're lizards...{w=1.0}But they talk, {w=0.5}and kinda look like kids.)	game/story/chapter1.rpy	550	se "[what]"
camp_cave_7bc0bac5	se	(So, would that mean they look like people with tails...?{w=2.0} {i}Are they reptilians...?!{/i} {w=2.0}Jacob would have a kick out of that.)	game/story/chapter1.rpy	551	se "[what]"
camp_cave_01bf5dbd	narrator	Your mind flashes back to a memory of Jacob at the office desperately explaining that Reptilians are alive and live under his house.	game/story/chapter1.rpy	552	narrator "[what]"
camp_cave_9285ce61	narrator	You laugh out loud, recalling the wild look in his eyes as he shared his story.	game/story/chapter1.rpy	553	narrator "[what]"
camp_cave_6bb6a0ba	se	(Now that I think about it, I haven't really thought of everyone back at the office, huh?)	game/story/chapter1.rpy	554	se "[what]"
camp_cave_a046131e	se	(I kind of wish they could be here and see this too.)	game/story/chapter1.rpy	555	se "[what]"
camp_cave_79be9da4	narrator	A familiar wave of dread washes over you as you remember your planned meeting with your boss and HR manager.	game/story/chapter1.rpy	556	narrator "[what]"
camp_cave_0e515ec3	narrator	The sinking feeling in your stomach returns.	game/story/chapter1.rpy	557	narrator "[what]"
camp_cave_d9d7ceb1	se	(Eh, maybe, except for them.)	game/story/chapter1.rpy	558	se "[what]"
camp_cave_34c12b0a	se	(I really don't understand, though.)	game/story/chapter1.rpy	559	se "[what]"
camp_cave_f1f8390a	se	(I was having a mental breakdown just thinking about getting fired...)	game/story/chapter1.rpy	560	se "[what]"
camp_cave_895e1b21	se	(Now here I am saving three little kids from an evil statue-{w=2.0}{i}and it's fun...?{/i})	game/story/chapter1.rpy	561	se "[what]"
camp_cave_68294690	Panna	We're here.	game/story/chapter1.rpy	564	Panna "[what]"
camp_cave_80ef71a4	Moonga	Yo, old man!	game/story/chapter1.rpy	565	Moonga "[what]"
camp_cave_0b4cc64f	Moonga	We're back. You better not be taking a nap again.	game/story/chapter1.rpy	567	Moonga "[what]"
camp_cave_25e63f59	Sunela	Mama we're homeeeee! And we brought a guest with us!!	game/story/chapter1.rpy	568	Sunela "[what]"
camp_cave_226bc963	narrator	A distinguished human man with long legs and lanky arms enters the room.	game/story/chapter1.rpy	574	narrator "[what]"
camp_cave_29fb67bc	narrator	He has a gentle aura about him, his brown eyes full of kindness despite the wearied eyebags underneath.	game/story/chapter1.rpy	575	narrator "[what]"
camp_cave_82009258	narrator	He seems very upbeat for a man that looks exhausted.	game/story/chapter1.rpy	576	narrator "[what]"
camp_cave_b58535c8	Professor	 Ah, Panna, Moonga, Sunela. It's good to see you back home safe.	game/story/chapter1.rpy	577	Professor "[what]"
camp_cave_1658a0c5	narrator	An older woman, who is also human, gracefully enters the room.	game/story/chapter1.rpy	578	narrator "[what]"
camp_cave_69e9766e	narrator	Her presence is healing, and you instantly feel at ease around her.	game/story/chapter1.rpy	579	narrator "[what]"
camp_cave_ed39abc5	narrator	She is the living embodiment of a stereotypical mother.	game/story/chapter1.rpy	580	narrator "[what]"
camp_cave_04b63e08	se	(Huh. So they're {i}not{/i} reptilian...?{w=2.0} Maybe it's just a costume...?)	game/story/chapter1.rpy	581	se "[what]"
camp_cave_b0d5256e	Mama	Oh, thank heavens you all came back safe and sound. 	game/story/chapter1.rpy	582	Mama "[what]"
camp_cave_30d6f7a9	Professor	I told you, dear, they may look like kids, but they know what they're doing. They were fine.	game/story/chapter1.rpy	583	Professor "[what]"
camp_cave_d8d77ba2	Mama	Talent or not, I want my babies here. With us, nice and safe.	game/story/chapter1.rpy	584	Mama "[what]"
camp_cave_24517f9b	Moonga	tsk...Whatever. I'm going upstairs.	game/story/chapter1.rpy	586	Moonga "[what]"
camp_cave_23a771e0	Moonga	Thanks for your help or whatever "Miss Sardine."	game/story/chapter1.rpy	588	Moonga "[what]"
camp_cave_675c22ad	Moonga	You're alright...{w=0.5}I guess.	game/story/chapter1.rpy	589	Moonga "[what]"
camp_cave_2eb3e3fe	Moonga	Later.	game/story/chapter1.rpy	590	Moonga "[what]"
camp_cave_97f977dd	Mama	Okay kids, get some rest, we'll talk with your friend.	game/story/chapter1.rpy	592	Mama "[what]"
camp_cave_6f37aebb	Sunela	Okay mama! Goodnight papa! Thank you for saving us, Miss Serene!!	game/story/chapter1.rpy	593	Sunela "[what]"
camp_cave_7126e93d	Sunela	Uhm, this is for you!!	game/story/chapter1.rpy	594	Sunela "[what]"
camp_cave_a5c2c807	extend	{w=2.0}	game/story/chapter1.rpy	596	extend "[what]"
